    S1 S2 S3 S4 L1 L2 L3 L4 L5 L6 H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12 H13 RR1
S1  0  0  0  0  1  1  1  1  1  1  0   0 0   0 0   0 0   0   0 0   0   0  1  1
S2  0  0  0  0  1  1  1  1  1  1  0   0 0   0 0   0 0   0   0 0   0   0  1  1
S3  0  0  0  0  1  1  1  1  1  1  0   0 0   0 0   0 0   0   0 0   0   0  0  0
S4  0  0  0  0  1  1  1  1  1  1  0   0 0   0 0   0 0   0   0 0   0   0  0  0
L1  1  1  1  1  0  0  0  0  0  0  1   1 0   0 0   0 0   0   0 0   0   0  0  0
L2  1  1  1  1  0  0  0  0  0  0  0   0 1   1 0   0 0   0   0 0   0   0  0  0
L3  1  1  1  1  0  0  0  0  0  0  0   0 0   0 1   1 0   0   0 0   0   0  0  0
L4  1  1  1  1  0  0  0  0  0  0  0   0 0   0 0   0 1   1   0 0   0   0  0  0
L5  1  1  1  1  0  0  0  0  0  0  0   0 0   0 0   0 0   0   1 1   0   0  0  0
L6  1  1  1  1  0  0  0  0  0  0  0   0 0   0 0   0 0   0   0 0   1   1  0  0
H1  0  0  0  0  1  0  0  0  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H2  0  0  0  0  1  0  0  0  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H3  0  0  0  0  0  1  0  0  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H4  0  0  0  0  0  1  0  0  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H5  0  0  0  0  0  0  1  0  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H6  0  0  0  0  0  0  1  0  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H7  0  0  0  0  0  0  0  1  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H8  0  0  0  0  0  0  0  1  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H9  0  0  0  0  0  0  0  0  1  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H10 0  0  0  0  0  0  0  0  1  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H11 0  0  0  0  0  0  0  0  0  1  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H12 0  0  0  0  0  0  0  0  0  1  0   0 0   0 0   0 0   0   0 0   0   0  0  0
H13 1  1  0  0  0  0  0  0  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
RR1 1  1  0  0  0  0  0  0  0  0  0   0 0   0 0   0 0   0   0 0   0   0  0  0
